,PSZACcontroller_oveHeaCor_u,PSZACcontroller_oveHeaPer1_u,PSZACcontroller_oveHeaPer2_u,PSZACcontroller_oveHeaPer3_u,PSZACcontroller_oveHeaPer4_u,TDryBul,HGloHor,Occupancy[core_zn],Occupancy[perimeter_zn_1],Occupancy[perimeter_zn_2],Occupancy[perimeter_zn_3],Occupancy[perimeter_zn_4],senTemRoom_y,senTemRoom1_y,senTemRoom2_y,senTemRoom3_y,senTemRoom4_y,timestamp
2020-01-19 09:45:00,0.208,0.288,0.493,0.323,0.615,0.7250000000000001,168.75,2.9932,2.269,1.3459999999999999,2.269,1.3459999999999999,306.93013048160196,306.2954499163282,312.7750585320313,305.1988374289645,315.11396589296925,2020-01-19 09:45:00
2020-01-19 09:50:00,0.24,0.252,0.572,0.293,0.621,0.6833333333333333,172.5,2.9932,2.269,1.3459999999999999,2.269,1.3459999999999999,307.1212561646304,305.9849187304411,313.87065244702706,304.9736670844187,315.5186255422281,2020-01-19 09:50:00
2020-01-19 09:55:00,0.24,0.252,0.572,0.293,0.621,0.6416666666666666,176.25,2.9932,2.269,1.3459999999999999,2.269,1.3459999999999999,307.26582059707846,305.8621433083379,314.1435489293524,304.9181474303645,315.4750355427764,2020-01-19 09:55:00
2020-01-19 10:00:00,0.24,0.252,0.572,0.293,0.621,0.6,180.0,14.2177,10.77775,6.3935,10.77775,6.3935,307.40509493507864,305.74215540744,314.42074066043074,304.8629650389402,315.4405746822551,2020-01-19 10:00:00
2020-01-19 10:05:00,0.24,0.252,0.572,0.293,0.621,0.6,183.75,14.2177,10.77775,6.3935,10.77775,6.3935,307.40568738236533,305.87768637011385,314.01540960308773,305.0290147887765,315.32102121809646,2020-01-19 10:05:00
2020-01-19 10:10:00,0.24,0.252,0.572,0.293,0.621,0.6,187.5,14.2177,10.77775,6.3935,10.77775,6.3935,307.4066207118611,306.00474645054,313.6363302292481,305.18569303889717,315.2069463609668,2020-01-19 10:10:00
2020-01-19 10:15:00,0.24,0.252,0.572,0.293,0.621,0.6,191.25,14.2177,10.77775,6.3935,10.77775,6.3935,307.35578170152365,305.9733530829679,313.92403208650694,305.1503930748607,315.3450346102465,2020-01-19 10:15:00
2020-01-19 10:20:00,0.24,0.252,0.572,0.293,0.621,0.6,195.0,14.2177,10.77775,6.3935,10.77775,6.3935,307.30558875935344,305.9429663658377,314.1880235095552,305.1165748004204,315.4719005993273,2020-01-19 10:20:00
2020-01-19 10:25:00,0.24,0.252,0.572,0.293,0.621,0.6,198.75,14.2177,10.77775,6.3935,10.77775,6.3935,307.31003756722833,305.8839708920973,314.2337977236342,305.08080953389737,315.4480090176024,2020-01-19 10:25:00
2020-01-19 10:30:00,0.24,0.252,0.572,0.293,0.621,0.6,202.5,14.2177,10.77775,6.3935,10.77775,6.3935,307.3115230638183,305.82524656360613,314.27905430647303,305.04412742680057,315.42522693314913,2020-01-19 10:30:00
