,timestamp,t_indoor_measured,t_indoor_predicted,t_indoor_predicted_after_kalman
2020-01-04 10:10:00,2020/01/04 10:10:00,22.05293687067092,20.84634130289055,21.1379
2020-01-04 10:15:00,2020/01/04 10:15:00,21.968512212235964,20.846341250125192,21.1175
2020-01-04 10:20:00,2020/01/04 10:20:00,21.931066978512035,20.846341017645898,21.1085
2020-01-04 10:25:00,2020/01/04 10:25:00,21.837369404772915,20.846340791672105,21.0858
2020-01-04 10:30:00,2020/01/04 10:30:00,21.788228914173317,20.84634029209633,21.074
2020-01-04 10:35:00,2020/01/04 10:35:00,21.692105426765636,20.846339856757936,21.0507
2020-01-04 10:40:00,2020/01/04 10:40:00,21.65196961839871,20.84633907909233,21.041
2020-01-04 10:45:00,2020/01/04 10:45:00,21.569318440315726,20.846338577651295,21.0211
2020-01-04 10:50:00,2020/01/04 10:50:00,21.534107340647097,20.846337746076472,21.0125
2020-01-04 10:55:00,2020/01/04 10:55:00,21.46929131328511,20.846337647969563,20.9969
2020-01-04 11:00:00,2020/01/04 11:00:00,21.447058274551466,20.846337299842048,20.9915
2020-01-04 11:05:00,2020/01/04 11:05:00,21.409441856815533,20.846338411136003,20.9824
2020-01-04 11:10:00,2020/01/04 11:10:00,21.400761207185553,20.846303132051162,20.9803
2020-01-04 11:15:00,2020/01/04 11:15:00,21.384887938040208,20.846269686771166,20.9764
2020-01-04 11:20:00,2020/01/04 11:20:00,21.382804545035015,20.84623480382436,20.9759
2020-01-04 11:25:00,2020/01/04 11:25:00,21.37622012204605,20.84620212588794,20.9743
2020-01-04 11:30:00,2020/01/04 11:30:00,21.371496187934213,20.846165425439608,20.9731
2020-01-04 11:35:00,2020/01/04 11:35:00,21.362144540009353,20.84612944693606,20.9708
2020-01-04 11:40:00,2020/01/04 11:40:00,21.357106150168136,20.84608192190484,20.9695
2020-01-04 11:45:00,2020/01/04 11:45:00,21.343437689104917,20.846027032418192,20.9661
