time,ElecLoads[core_zn],ElecLoads[perimeter_zn_1],ElecLoads[perimeter_zn_2],ElecLoads[perimeter_zn_3],ElecLoads[perimeter_zn_4]
49892400.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49896000.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49899600.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49903200.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49906800.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49910400.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
49914000.0,805.1708,610.361,362.07399999999996,610.361,362.07399999999996
49917600.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
49921200.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
49924800.0,322.06831999999997,244.1444,144.82959999999997,244.1444,144.82959999999997
49928400.0,322.06831999999997,244.1444,144.82959999999997,244.1444,144.82959999999997
49932000.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
49935600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
49939200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
49942800.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
49946400.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
49950000.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
49953600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
49957200.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
49960800.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
49964400.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
49968000.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
