Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 01/01  11:00:00,216755527.50125099,138107542.0287767,0.0,9649497.642210719,0.0,57896985.85326433,11071117.638175687,30384.33882352941,18932306.483912849,18860306.483912849,72000.0 
 01/01  12:00:00,160642131.77251367,86297893.37223885,0.0,9649497.642210719,0.0,57896985.85326433,6767370.565976274,30384.33882352941,15993382.228829008,12022410.277961947,3970971.950867059 
 01/01  13:00:00,171276267.0600525,96110820.82851875,0.0,9649497.642210719,0.0,57896985.85326433,7588578.397235228,30384.33882352941,16504738.24315534,12533695.486792006,3971042.7563633348 
 01/01  14:00:00,134514643.69527553,60866913.14318876,0.0,9649497.642210719,0.0,57896985.85326433,6070862.717788182,30384.33882352941,6129798.71109386,6057798.71109386,72000.0 
 01/01  15:00:00,143628351.92571018,68462905.69417639,0.0,9649497.642210719,0.0,57896985.85326433,7588578.397235228,30384.33882352941,8266039.298677144,4294768.165312979,3971271.1333641645 
 01/01  16:00:00,127311317.25769769,52967078.85742286,0.0,9649497.642210719,0.0,57896985.85326433,6767370.565976273,30384.33882352941,1672902.5471500694,1600902.5471500694,72000.0 
 01/01  17:00:00,191746317.29089535,95333531.81842108,0.0,9649497.642210719,17764800.0,57896985.85326433,11071117.638175687,30384.33882352941,7505971.867733788,3534986.4991862166,3970985.368547572 
 01/01  18:00:00,235127397.15783946,105399235.21300036,0.0,9649497.642210719,53294400.0,57896985.85326433,8856894.110540549,30384.33882352941,3427494.926254481,3355494.926254481,72000.0 
 01/01  19:00:00,290823715.6926007,158881330.22012646,0.0,9649497.642210719,53294400.0,57896985.85326433,11071117.638175687,30384.33882352941,12178408.088014499,8207613.950475353,3970794.1375391448 
 01/01  20:00:00,271260253.1419287,141532091.1970895,0.0,9649497.642210719,53294400.0,57896985.85326433,8856894.110540549,30384.33882352941,8816589.417524225,8744589.417524225,72000.0 
 01/01  21:00:00,327168406.1554013,195226020.68292708,0.0,9649497.642210719,53294400.0,57896985.85326433,11071117.638175687,30384.33882352941,15756312.986683609,15684312.986683609,72000.0 
 01/01  22:00:00,290358139.6574492,160629977.7126101,0.0,9649497.642210719,53294400.0,57896985.85326433,8856894.110540549,30384.33882352941,17337465.655760155,13366051.652291155,3971414.003469 
 01/01  23:00:00,342727637.5788042,210785252.10632993,0.0,9649497.642210719,53294400.0,57896985.85326433,11071117.638175687,30384.33882352941,19993362.83278816,19921362.83278816,72000.0 
 01/01  24:00:00,300932124.5836351,171203962.63879598,0.0,9649497.642210719,53294400.0,57896985.85326433,8856894.110540549,30384.33882352941,20298328.84819912,16327434.41116048,3970894.4370386439 
 01/02  01:00:00,363507285.5570323,212265904.80013658,0.0,9649497.642210719,53294400.0,77195981.13768575,11071117.638175687,30384.33882352941,22883228.069165119,22811228.069165119,72000.0 
 01/02  02:00:00,318359912.1331112,169332754.90385062,0.0,9649497.642210719,53294400.0,77195981.13768575,8856894.110540549,30384.33882352941,22126951.129793418,18155864.19093437,3971086.938859046 
 01/02  03:00:00,367975318.5420297,216733937.78513403,0.0,9649497.642210719,53294400.0,77195981.13768575,11071117.638175687,30384.33882352941,24492127.660715119,24420127.660715119,72000.0 
 01/02  04:00:00,322693710.852123,173666553.62286253,0.0,9649497.642210719,53294400.0,77195981.13768575,8856894.110540549,30384.33882352941,22932941.3065171,18961730.702358679,3971210.6041584217 
 01/02  05:00:00,372764666.24743828,221523285.49054254,0.0,9649497.642210719,53294400.0,77195981.13768575,11071117.638175687,30384.33882352941,24939540.957547673,24867540.957547673,72000.0 
 01/02  06:00:00,334716462.0039472,176039807.13247598,0.0,19298995.284421438,53294400.0,77195981.13768575,8856894.110540549,30384.33882352941,22935176.61151223,18963566.9692462,3971609.642266027 
 01/02  07:00:00,1085838491.5081297,922733389.5813879,0.0,19298995.284421438,53294400.0,77195981.13768575,13285341.165810822,30384.33882352941,9862579.933915442,5891298.98510269,3971280.948812752 
 01/02  08:00:00,952645508.7605533,746013554.726507,0.0,57896985.85326433,17764800.0,117654442.67614728,13285341.165810822,30384.338823529408,280737617.3628065,276764222.52417257,3973394.8386339747 
 01/02  09:00:00,883645903.5353959,443187295.87820836,0.0,173690957.55979295,0.0,253451924.59275989,13285341.165810822,30384.33882352941,254213114.10830517,246332058.58025445,7881055.528050693 
 01/02  10:00:00,730502433.5775411,320098683.06321117,0.0,173690957.55979295,0.0,223397067.4499028,13285341.165810822,30384.338823529408,220518113.99591116,212635932.80445639,7882181.191454772 
 01/02  11:00:00,674897208.2266836,271429193.9760899,0.0,173690957.55979295,0.0,216461331.18616648,13285341.165810822,30384.338823529408,188702427.78388448,180819839.68023665,7882588.103647815 
 01/02  12:00:00,658489523.2739548,247858209.8161621,0.0,173690957.55979295,0.0,223397067.4499028,13512904.109273343,30384.338823529408,160632898.2114236,148841332.26878555,11791565.942638068 
