,senHeaPow1_y,PSZACcontroller_oveHeaPer1_u,TDryBul,HGloHor,Occupancy[perimeter_zn_1],senTemRoom1_y,timestamp
2020-01-01 06:10:00,0.0,0.0,-10.5,2.0,0.0,290.73790222724136,2020-01-01 06:10:00
2020-01-01 06:15:00,0.0,0.0,-10.45,3.0,0.0,290.7171096602303,2020-01-01 06:15:00
2020-01-01 06:20:00,0.0,0.0,-10.4,4.0,0.0,290.69631691013734,2020-01-01 06:20:00
2020-01-01 06:25:00,0.0,0.0,-10.35,5.0,0.0,290.6757848371708,2020-01-01 06:25:00
2020-01-01 06:30:00,0.0,0.0,-10.3,6.0,0.0,290.65525080089145,2020-01-01 06:30:00
2020-01-01 06:35:00,0.0,0.0,-10.25,7.000000000000001,0.0,290.63485319291686,2020-01-01 06:35:00
2020-01-01 06:40:00,0.0,0.0,-10.2,8.0,0.0,290.6144529196569,2020-01-01 06:40:00
2020-01-01 06:45:00,0.0,0.0,-10.15,9.0,0.0,290.5941318756701,2020-01-01 06:45:00
2020-01-01 06:50:00,0.0,0.0,-10.1,10.0,0.0,290.5738080678976,2020-01-01 06:50:00
2020-01-01 06:55:00,0.0,0.0,-10.05,11.0,0.0,290.5535971131694,2020-01-01 06:55:00
2020-01-01 07:00:00,0.0,0.0,-10.0,12.0,0.0,290.53338305859967,2020-01-01 07:00:00
2020-01-01 07:05:00,0.0,0.0,-9.908333333333333,20.583333333333336,0.0,290.5154086281806,2020-01-01 07:05:00
2020-01-01 07:10:00,0.0,0.0,-9.816666666666666,29.166666666666668,0.0,290.4974138753987,2020-01-01 07:10:00
2020-01-01 07:15:00,0.0,0.0,-9.725,37.75,0.0,290.47994116555293,2020-01-01 07:15:00
2020-01-01 07:20:00,0.0,0.0,-9.633333333333333,46.333333333333336,0.0,290.4624463354752,2020-01-01 07:20:00
2020-01-01 07:25:00,0.0,0.0,-9.541666666666666,54.916666666666664,0.0,290.47156210585405,2020-01-01 07:25:00
2020-01-01 07:30:00,0.0,0.0,-9.45,63.5,0.0,290.48043891608654,2020-01-01 07:30:00
2020-01-01 07:35:00,0.0,0.0,-9.358333333333334,72.08333333333334,0.0,290.54341346249646,2020-01-01 07:35:00
2020-01-01 07:40:00,0.0,0.0,-9.266666666666667,80.66666666666667,0.0,290.6057580674736,2020-01-01 07:40:00
2020-01-01 07:45:00,0.0,0.0,-9.175,89.25,0.0,290.6790239215942,2020-01-01 07:45:00
2020-01-01 07:50:00,0.0,0.0,-9.083333333333334,97.83333333333333,0.0,290.75167361957915,2020-01-01 07:50:00
2020-01-01 07:55:00,0.0,0.0,-8.991666666666667,106.41666666666667,0.0,290.8265527572688,2020-01-01 07:55:00
2020-01-01 08:00:00,0.0,0.0,-8.9,115.0,0.0,290.900925096364,2020-01-01 08:00:00
2020-01-01 08:05:00,0.0,0.0,-8.716666666666667,125.75,0.0,290.98462670078305,2020-01-01 08:05:00
2020-01-01 08:10:00,0.0,0.0,-8.533333333333333,136.5,0.0,291.06786897429225,2020-01-01 08:10:00
2020-01-01 08:15:00,0.0,0.0,-8.35,147.25,0.0,291.1645437337213,2020-01-01 08:15:00
2020-01-01 08:20:00,0.0,0.0,-8.166666666666666,158.0,0.0,291.2607615989134,2020-01-01 08:20:00
2020-01-01 08:25:00,0.0,0.0,-7.983333333333333,168.75,0.0,291.36892956902506,2020-01-01 08:25:00
2020-01-01 08:30:00,0.0,0.0,-7.800000000000001,179.5,0.0,291.4766573925581,2020-01-01 08:30:00
