,Time,datetime,T_OA,HgloHor1,Core_OccN,CORE_IntGaiTot,Core_HeaPow,Core_FanPow,Core_OAVol,P1_OccN,P1_IntGaiTot,P1_HeaPow,P1_FanPow,P1_OAVol,P2_OccN,P2_IntGaiTot,P2_HeaPow,P2_FanPow,P2_OAVol,P3_OccN,P3_IntGaiTot,P3_HeaPow,P3_FanPow,P3_OAVol,P4_OccN,P4_IntGaiTot,P4_HeaPow,P4_FanPow,P4_OAVol
528715,31809300,2020-01-04 03:55:00,269.85983,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481765,7.481765,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457204,2.4367807e-06
528720,31809600,2020-01-04 04:00:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481765,7.481765,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457204,2.4371257e-06
528725,31809900,2020-01-04 04:05:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481765,7.481765,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457204,2.4374333e-06
528730,31810200,2020-01-04 04:10:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481765,7.481765,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.4377052e-06
528735,31810500,2020-01-04 04:15:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817643,7.4817643,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.4379476e-06
528740,31810800,2020-01-04 04:20:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817643,7.4817643,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.4381618e-06
528745,31811100,2020-01-04 04:25:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817643,7.4817643,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.4383528e-06
528750,31811400,2020-01-04 04:30:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817643,7.4817643,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.4385217e-06
528755,31811700,2020-01-04 04:35:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817643,7.4817643,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.4386723e-06
528760,31812000,2020-01-04 04:40:00,269.85,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817643,7.4817643,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74572,2.4388055e-06
