,timestamp,t_indoor_measured,t_indoor_predicted
2020-01-04 15:40:00,2020/01/04 15:40:00,19.886920297220968,19.91687576478546
2020-01-04 15:45:00,2020/01/04 15:45:00,19.862764541592185,19.818083664152994
2020-01-04 15:50:00,2020/01/04 15:50:00,19.841069004799238,19.739681886483083
2020-01-04 15:55:00,2020/01/04 15:55:00,19.81883849529777,19.679180578550245
2020-01-04 16:00:00,2020/01/04 16:00:00,19.786103473139804,19.64076125782509
2020-01-04 16:05:00,2020/01/04 16:05:00,19.75126067844957,19.616728026592398
2020-01-04 16:10:00,2020/01/04 16:10:00,19.713648083367275,19.607148450304237
2020-01-04 16:15:00,2020/01/04 16:15:00,19.672090891856215,19.606087062618542
2020-01-04 16:20:00,2020/01/04 16:20:00,19.612562831332866,19.61031320346092
2020-01-04 16:25:00,2020/01/04 16:25:00,19.54898640049646,19.611022375234313
2020-01-04 16:30:00,2020/01/04 16:30:00,19.50885323915037,19.606478149164047
2020-01-04 16:35:00,2020/01/04 16:35:00,19.463233677570486,19.600604628329222
2020-01-04 16:40:00,2020/01/04 16:40:00,19.435121943733634,19.587771060867794
2020-01-04 16:45:00,2020/01/04 16:45:00,19.401667967966205,19.571384865488653
2020-01-04 16:50:00,2020/01/04 16:50:00,19.37266832364014,19.549857656572726
2020-01-04 16:55:00,2020/01/04 16:55:00,21.166569082875924,19.52213728491614
2020-01-04 17:00:00,2020/01/04 17:00:00,20.6920816243707,21.207980484878135
2020-01-04 17:05:00,2020/01/04 17:05:00,20.49680677124269,20.68548405770082
2020-01-04 17:10:00,2020/01/04 17:10:00,20.57438662522486,20.76414168280462
2020-01-04 17:15:00,2020/01/04 17:15:00,20.73078092558444,20.76341629709583
2020-01-04 17:20:00,2020/01/04 17:20:00,20.8545061819558,20.800886756115915
2020-01-04 17:25:00,2020/01/04 17:25:00,20.97672372454656,20.821110654284666
2020-01-04 17:30:00,2020/01/04 17:30:00,20.909273195805383,20.84503661186676
2020-01-04 17:35:00,2020/01/04 17:35:00,20.864147641732927,20.822003114871222
2020-01-04 17:40:00,2020/01/04 17:40:00,20.844813561435558,20.815547882893043
2020-01-04 17:45:00,2020/01/04 17:45:00,20.82428607970303,20.81099524539343
2020-01-04 17:50:00,2020/01/04 17:50:00,20.825361671264318,20.805547828135673
2020-01-04 17:55:00,2020/01/04 17:55:00,20.8077872871184,20.805220005811805
2020-01-04 18:00:00,2020/01/04 18:00:00,20.672958715149093,20.79922236669222
2020-01-04 18:05:00,2020/01/04 18:05:00,20.60783448279659,20.766144766007812
2020-01-04 18:10:00,2020/01/04 18:10:00,20.65907785587899,20.757045650990733
2020-01-04 18:15:00,2020/01/04 18:15:00,20.710708002376577,20.770538308294533
2020-01-04 18:20:00,2020/01/04 18:20:00,20.710685286577643,20.779946664051522
2020-01-04 18:25:00,2020/01/04 18:25:00,20.721875448897833,20.77826397158566
2020-01-04 18:30:00,2020/01/04 18:30:00,20.70045760144876,20.78339158269432
