time,ElecLoads[core_zn],ElecLoads[perimeter_zn_1],ElecLoads[perimeter_zn_2],ElecLoads[perimeter_zn_3],ElecLoads[perimeter_zn_4],tdl
752400,805.1708,610.361,362.074,610.361,362.074,5
756000,483.10248,366.2166,217.2444,366.2166,217.2444,20
759600,483.10248,366.2166,217.2444,366.2166,217.2444,20
763200,322.06832,244.1444,144.8296,244.1444,144.8296,20
766800,322.06832,244.1444,144.8296,244.1444,144.8296,20
770400,161.03416,122.0722,72.4148,122.0722,72.4148,20
774000,80.51708,61.0361,36.2074,61.0361,36.2074,20
777600,80.51708,61.0361,36.2074,61.0361,36.2074,20
781200,80.51708,61.0361,36.2074,61.0361,36.2074,20
784800,80.51708,61.0361,36.2074,61.0361,36.2074,20
788400,80.51708,61.0361,36.2074,61.0361,36.2074,20
792000,80.51708,61.0361,36.2074,61.0361,36.2074,20
795600,161.03416,122.0722,72.4148,122.0722,72.4148,20
799200,161.03416,122.0722,72.4148,122.0722,72.4148,20
802800,483.10248,366.2166,217.2444,366.2166,217.2444,20
806400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
810000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
813600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
817200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
820800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
824400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
828000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
831600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
835200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
838800,805.1708,610.361,362.074,610.361,362.074,5
842400,483.10248,366.2166,217.2444,366.2166,217.2444,20
846000,483.10248,366.2166,217.2444,366.2166,217.2444,20
849600,322.06832,244.1444,144.8296,244.1444,144.8296,20
853200,322.06832,244.1444,144.8296,244.1444,144.8296,20
856800,161.03416,122.0722,72.4148,122.0722,72.4148,20
860400,80.51708,61.0361,36.2074,61.0361,36.2074,20
864000,80.51708,61.0361,36.2074,61.0361,36.2074,20
867600,80.51708,61.0361,36.2074,61.0361,36.2074,20
871200,80.51708,61.0361,36.2074,61.0361,36.2074,20
874800,80.51708,61.0361,36.2074,61.0361,36.2074,20
878400,80.51708,61.0361,36.2074,61.0361,36.2074,20
882000,161.03416,122.0722,72.4148,122.0722,72.4148,20
885600,161.03416,122.0722,72.4148,122.0722,72.4148,20
889200,483.10248,366.2166,217.2444,366.2166,217.2444,20
892800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
896400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
900000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
903600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
907200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
910800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
914400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
918000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
921600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
925200,805.1708,610.361,362.074,610.361,362.074,5
928800,483.10248,366.2166,217.2444,366.2166,217.2444,20
932400,483.10248,366.2166,217.2444,366.2166,217.2444,20
936000,322.06832,244.1444,144.8296,244.1444,144.8296,20
939600,322.06832,244.1444,144.8296,244.1444,144.8296,20
943200,161.03416,122.0722,72.4148,122.0722,72.4148,20
946800,80.51708,61.0361,36.2074,61.0361,36.2074,20
950400,80.51708,61.0361,36.2074,61.0361,36.2074,20
954000,80.51708,61.0361,36.2074,61.0361,36.2074,20
957600,80.51708,61.0361,36.2074,61.0361,36.2074,20
961200,80.51708,61.0361,36.2074,61.0361,36.2074,20
964800,80.51708,61.0361,36.2074,61.0361,36.2074,20
968400,161.03416,122.0722,72.4148,122.0722,72.4148,20
972000,161.03416,122.0722,72.4148,122.0722,72.4148,20
975600,483.10248,366.2166,217.2444,366.2166,217.2444,20
979200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
982800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
986400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
990000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
993600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
997200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1000800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1004400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1008000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1011600,805.1708,610.361,362.074,610.361,362.074,5
1015200,483.10248,366.2166,217.2444,366.2166,217.2444,20
1018800,483.10248,366.2166,217.2444,366.2166,217.2444,20
1022400,322.06832,244.1444,144.8296,244.1444,144.8296,20
1026000,322.06832,244.1444,144.8296,244.1444,144.8296,20
1029600,161.03416,122.0722,72.4148,122.0722,72.4148,20
1033200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1036800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1040400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1044000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1047600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1051200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1054800,161.03416,122.0722,72.4148,122.0722,72.4148,20
1058400,161.03416,122.0722,72.4148,122.0722,72.4148,20
1062000,483.10248,366.2166,217.2444,366.2166,217.2444,20
1065600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
